threshold_25,threshold_50,threshold_75,avg_flops_giga,accuracy
0.3,0.3,0.3,0.521208,0.7402
0.3,0.3,0.4,0.521639,0.7404
0.3,0.5,0.3,0.527234,0.7408
0.3,0.5,0.4,0.528529,0.741
0.3,0.6,0.3,0.532181,0.742
0.3,0.6,0.4,0.534124,0.7422
0.3,0.7,0.3,0.537737,0.7424
0.3,0.8,0.3,0.540073,0.7428
0.3,0.9,0.3,0.543116,0.7434
0.3,0.95,0.3,0.545982,0.7436
0.3,0.95,0.4,0.549652,0.7438
0.4,0.3,0.3,0.56102,0.7516
0.4,0.3,0.4,0.561452,0.7518
0.4,0.3,0.8,0.563826,0.752
0.4,0.4,0.4,0.567302,0.7522
0.4,0.4,0.7,0.570972,0.7524
0.4,0.4,0.8,0.572267,0.7526
0.4,0.4,0.9,0.573346,0.7528
0.4,0.5,0.6,0.582377,0.753
0.4,0.5,0.7,0.58324,0.7532
0.4,0.5,0.8,0.584967,0.7536
0.4,0.6,0.3,0.585225,0.7544
0.4,0.6,0.4,0.588248,0.7552
0.4,0.7,0.3,0.595375,0.7562
0.4,0.7,0.4,0.599692,0.7572
0.4,0.7,0.5,0.605953,0.7574
0.4,0.8,0.4,0.608978,0.7578
0.5,0.3,0.3,0.609474,0.7624
0.5,0.3,0.4,0.609906,0.7626
0.5,0.3,0.6,0.611849,0.7628
0.5,0.3,0.8,0.612929,0.763
0.5,0.4,0.6,0.622979,0.7632
0.5,0.4,0.7,0.623843,0.7634
0.5,0.4,0.8,0.626217,0.7636
0.5,0.4,0.9,0.628592,0.7638
0.5,0.5,0.3,0.633012,0.7648
0.5,0.5,0.4,0.636035,0.765
0.5,0.5,0.6,0.644238,0.7658
0.5,0.6,0.3,0.649208,0.7682
0.5,0.6,0.4,0.65331,0.7688
0.5,0.6,0.5,0.660434,0.7692
0.6,0.3,0.3,0.6639,0.772
0.6,0.3,0.4,0.664548,0.7724
0.6,0.3,0.6,0.666922,0.7728
0.6,0.3,0.7,0.667786,0.773
0.6,0.3,0.9,0.670808,0.7734
0.6,0.4,0.6,0.682626,0.7738
0.6,0.4,0.7,0.685001,0.7744
0.6,0.4,0.9,0.692125,0.7754
0.5,0.8,0.6,0.708212,0.7756
0.6,0.5,0.7,0.712207,0.7762
0.6,0.6,0.3,0.71555,0.779
0.7,0.3,0.3,0.715556,0.7794
0.7,0.3,0.4,0.71642,0.7798
0.7,0.3,0.6,0.718795,0.7802
0.7,0.3,0.7,0.719874,0.7804
0.7,0.3,0.9,0.723112,0.7806
0.7,0.4,0.4,0.733185,0.7812
0.6,0.6,0.6,0.737354,0.7816
0.7,0.4,0.6,0.738798,0.7818
0.7,0.4,0.7,0.742036,0.7824
0.7,0.4,0.8,0.746353,0.7828
0.7,0.4,0.9,0.750455,0.7836
0.6,0.7,0.5,0.757949,0.7838
0.7,0.5,0.6,0.768831,0.784
0.6,0.7,0.6,0.768958,0.7854
0.6,0.7,0.7,0.77781,0.7856
0.7,0.6,0.3,0.778554,0.7866
0.6,0.8,0.5,0.783272,0.7868
0.7,0.6,0.4,0.784598,0.7872
0.7,0.6,0.5,0.794745,0.7884
0.6,0.8,0.6,0.797088,0.7892
0.7,0.6,0.6,0.804891,0.7896
0.7,0.7,0.3,0.807333,0.7908
0.7,0.7,0.4,0.815969,0.7914
0.7,0.7,0.5,0.829137,0.7938
0.7,0.7,0.6,0.842738,0.7956
0.7,0.7,0.7,0.853748,0.796
0.7,0.8,0.5,0.861194,0.7964
0.7,0.8,0.6,0.878465,0.7992
0.7,0.8,0.7,0.892281,0.7996
0.7,0.8,0.8,0.911495,0.7998
0.8,0.7,0.6,0.919718,0.8002
0.7,0.9,0.6,0.92173,0.801
0.7,0.9,0.7,0.94008,0.8016
0.7,0.95,0.6,0.959224,0.8034
0.8,0.8,0.6,0.965025,0.8038
0.8,0.8,0.7,0.980352,0.8042
0.9,0.7,0.5,0.996599,0.8048
0.9,0.7,0.6,1.016892,0.8078
0.9,0.7,0.7,1.030708,0.8084
0.8,0.95,0.6,1.063295,0.8102
0.9,0.8,0.6,1.070148,0.812
0.9,0.8,0.7,1.087635,0.8126
0.9,0.8,0.8,1.113756,0.8134
0.9,0.9,0.6,1.134399,0.8146
0.9,0.9,0.7,1.15901,0.8156
0.9,0.95,0.6,1.189188,0.8184
0.9,0.95,0.7,1.2179,0.8194
0.9,0.95,0.8,1.256111,0.8206
0.95,0.95,0.7,1.302304,0.8214
0.95,0.95,0.8,1.343322,0.8226
