threshold_25,threshold_50,threshold_75,accuracy,avg_flops_giga,exit_25_rate,exit_50_rate,exit_75_rate,dense_rate,exit_25_acc,exit_50_acc,exit_75_acc,dense_exit_acc,pareto_optimal
0.95,0.95,0.8,0.8226,1.343322,0.418,0.2566,0.1732,0.1522,0.962679,0.874513,0.702079,0.487516,True
0.95,0.95,0.9,0.822,1.392543,0.418,0.2566,0.1276,0.1978,0.962679,0.874513,0.749216,0.503539,False
0.95,0.95,0.7,0.8214,1.302304,0.418,0.2566,0.2112,0.1142,0.962679,0.874513,0.658144,0.486865,True
0.9,0.95,0.8,0.8206,1.256111,0.502,0.1974,0.1554,0.1452,0.948606,0.852077,0.685972,0.479339,True
0.9,0.95,0.9,0.8202,1.303173,0.502,0.1974,0.1118,0.1888,0.948606,0.852077,0.735242,0.495763,False
0.95,0.95,0.6,0.8202,1.272297,0.418,0.2566,0.239,0.0864,0.962679,0.874513,0.63682,0.476852,False
0.95,0.95,0.95,0.82,1.430322,0.418,0.2566,0.0926,0.2328,0.962679,0.874513,0.796976,0.512887,False
0.9,0.95,0.7,0.8194,1.2179,0.502,0.1974,0.1908,0.1098,0.948606,0.852077,0.641509,0.479053,True
0.95,0.9,0.9,0.8192,1.313299,0.418,0.3116,0.101,0.1694,0.962679,0.826701,0.746535,0.494687,False
0.95,0.9,0.8,0.819,1.272713,0.418,0.3116,0.1386,0.1318,0.962679,0.826701,0.691198,0.479514,False
0.9,0.95,0.6,0.8184,1.189188,0.502,0.1974,0.2174,0.0832,0.948606,0.852077,0.620055,0.471154,True
0.9,0.95,0.95,0.8184,1.337498,0.502,0.1974,0.08,0.2206,0.948606,0.852077,0.7775,0.5068,False
0.9,0.9,0.9,0.8176,1.230898,0.502,0.2472,0.0882,0.1626,0.948606,0.797735,0.734694,0.488315,False
0.95,0.9,0.7,0.8174,1.237956,0.418,0.3116,0.1708,0.0996,0.962679,0.826701,0.645199,0.473896,False
0.95,0.9,0.95,0.8174,1.34417,0.418,0.3116,0.0724,0.198,0.962679,0.826701,0.798343,0.50303,False
0.9,0.9,0.8,0.8172,1.192255,0.502,0.2472,0.124,0.1268,0.948606,0.797735,0.675806,0.473186,False
0.95,0.9,0.6,0.8162,1.212267,0.418,0.3116,0.1946,0.0758,0.962679,0.826701,0.623844,0.459103,False
0.9,0.9,0.95,0.816,1.259394,0.502,0.2472,0.0618,0.189,0.948606,0.797735,0.779935,0.499471,False
0.9,0.9,0.7,0.8156,1.15901,0.502,0.2472,0.1548,0.096,0.948606,0.797735,0.629199,0.466667,True
