threshold_25,threshold_50,threshold_75,accuracy,avg_flops_giga,exit_25_rate,exit_50_rate,exit_75_rate,dense_rate,exit_25_acc,exit_50_acc,exit_75_acc,dense_exit_acc,pareto_optimal
,,,0.8082,2.267331,0.0,0.0,0.0,1.0,,,,0.8082,True
,,,0.7498,0.513569,0.9678,0.0228,0.0046,0.0048,0.759661,0.517544,0.347826,0.25,True
,,,0.7624,0.548658,0.9242,0.0496,0.0114,0.0148,0.783597,0.568548,0.473684,0.310811,True
,,,0.7766,0.625778,0.8562,0.0762,0.0202,0.0474,0.818968,0.616798,0.574257,0.35443,True
,,,0.7908,0.71832,0.784,0.0968,0.0294,0.0898,0.853061,0.690083,0.639456,0.405345,True
,,,0.7972,0.828606,0.7096,0.1084,0.0368,0.1452,0.883033,0.745387,0.701087,0.440771,True
,,,0.8042,0.958408,0.634,0.1098,0.04,0.2162,0.911356,0.812386,0.75,0.495837,True
,,,0.8068,1.158875,0.5242,0.108,0.0362,0.3316,0.945822,0.890741,0.878453,0.55187,True
,,,0.8078,1.321854,0.4358,0.104,0.0356,0.4246,0.97017,0.926923,0.926966,0.601978,True
,,,0.7434,0.491472,1.0,0.0,0.0,0.0,0.7434,,,,True
